0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:53 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:55 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:55 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:05 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:05 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:14 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:14 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:14 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:15 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:28:15 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:31 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:31 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:31 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:58 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:58 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:29:58 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:30:09 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:30:09 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:32:33 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:32:33 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:32:41 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:00 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:00 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:00 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:01 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:01 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:02 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:02 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:03 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:06 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:06 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:07 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:09 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:09 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:34:15 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:44:47 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:44:47 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:44:48 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:44:49 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:44:49 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:25 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:25 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:39 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:39 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:40 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:45:40 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:33 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:33 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:35 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:35 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:35 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:41 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:42 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:42 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:44 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:44 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:44 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:45 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:46:45 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
